Participants,Actinobacteria sp.,Atopobium vaginae,Clostridia sp. BVAB2,Clostridium genomosp. BVAB3,Escherichia coli,Eukaryote,Gardnerella vaginalis Group A,Gardnerella vaginalis Group B,Gardnerella vaginalis Group C,Gardnerella vaginalis Group D,Klebsiella pneumoniae,Lactobacillus crispatus,Lactobacillus gasseri,Lactobacillus iners,Lactobacillus jensenii,Megasphaera sp. genomosp. type 1,Other Actinobacteria,Other Bacteria,Other Bacteroidetes,Other Clostridium,Other Firmicutes,Other Lactobacillus,Other Prevotella,Other Proteobacteria,Other Streptococcus,Prevotella amnii,Prevotella timonensis,Streptococcus devriesei
Vogue1B2.01.01,0,1,1,0,0,1,3,0,8,0,0,64,1899,11,6,0,0,0,0,0,0,5,0,2,0,1,1,0
Vogue1B2.01.06,15,0,34,0,775,0,777,0,42,0,0,2,4,11,5,0,103,0,0,0,17,0,1,15,66,0,1,0
Vogue1B2.01.07,0,2,1,1,0,6,8,0,6,0,0,7,23,1321,1,0,0,0,2,0,0,0,0,0,0,3,2,0
Vogue1B2.01.08,0,80,16,4,2,0,553,294,637,2,1,116,3,4871,117,10957,16,0,3,0,10,3,6,1,26,0,123,0
Vogue1B2.01.09,0,0,3,0,3,1,16,0,4,0,0,26,3,5187,16,4,1,0,0,0,2,56,0,15,2,0,4,0
Vogue1B2.01.10,0,134,2,0,7,0,59,0,1194,0,0,69,23,253,11,0,2,0,1,0,32,0,0,0,1,0,1,0
Vogue1B2.01.11,0,0,23,0,0,0,2067,0,100,0,0,79,45,26,13,0,17,0,12,0,0,0,1,0,0,0,7,0
Vogue1B2.01.12,0,0,31,0,0,1,52,86,205,14,0,647,7,518,204,8,36,0,6,0,8,2,69,0,2,0,2,0
Vogue1B2.01.15,0,0,3,0,0,0,8,0,0,0,0,1162,3,25,20,0,0,2,1,0,4,0,0,7,0,4,1,0
Vogue1B2.01.19,0,0,12,0,0,2,4,0,2,0,469,9,1,50,13,0,1,0,0,0,0,0,0,0,0,0,0,0
Vogue1B2.01.21,0,4,15,0,1,3,63,22,657,0,0,160,48,5127,19,17,15,0,0,3,1,0,8,2,0,18,23,0
Vogue1B2.01.23,0,0,2,0,0,5,3,0,195,0,0,25,3,6473,2,1,0,0,0,0,1,0,0,0,1,0,0,0
Vogue1B2.01.26,35,204,81,196,0,1,1493,0,174,0,0,1,0,14,21,602,19,0,0,21,96,1,83,5,0,2,681,2
Vogue1B2.01.28,0,3,16,5,0,1,9,1,129,0,0,502,8,236,15,21,4,0,1,0,2,2,2,2,0,0,15,0
Vogue1B2.01.29,1,10,32,5,0,0,1187,0,111,1,0,63,0,309,9,16,2,0,51,1,14,0,29,2,0,8,94,0
Vogue1B2.01.35,7,27,66,3,0,0,1870,0,408,0,0,3,2,7,11,0,0,0,0,1,22,8,2,1,0,0,0,8
Vogue1B2.01.37,1,17,0,0,1,0,3449,0,96,0,0,7,8,1666,9,0,2,0,0,17,4,17,0,5,0,1,0,23
Vogue1B2.01.38,4,18,1,0,1738,0,8,0,5,0,0,15,209,190,19,0,1,0,14,73,51,13,1,3,294,2,0,35
Vogue1B2.01.50,221,32,7,0,0,0,775,0,18,0,0,10,51,9179,11,1,2,0,0,44,9,57,1,7,0,1,4,51
Vogue1B2.01.52,9435,48,11,0,0,0,4,0,9,0,0,22,2599,1,23,2,14,0,0,18,8,19,30,13,1,1,8,41
Vogue1B2.01.56,155,6,495,0,0,0,53,0,497,64,0,40,17,17,4,0,99,2,3,44,22,5,957,3,2,0,2330,15
Vogue1B2.01.58,18,10,4,10,1,0,105,0,28,0,0,3807,11,2817,8,1,5,0,0,15,21,31,0,2,0,0,2,35
Vogue1B2.01.61,5,8,37,0,0,0,9,0,3577,1,0,2,21,1,2,0,4,0,0,24,0,2,26,0,0,0,37,21
Vogue1B2.01.62,127,56,205,397,0,3,5843,0,114,0,0,10,7,89,8,0,0,0,1,32,553,12,36,13,0,0,7,39
Vogue1B2.01.63,10,15,2,0,0,0,4,0,6,0,0,4880,2,9,141,0,0,0,0,10,11,39,1,2,0,1,0,25
Vogue1B2.01.64,1531,425,273,7,0,0,19,0,8,0,0,18,2,216,2,1,3,0,2,28,2,5,17,19,1,3602,1,30
