,Viral_Family,Vogue1A.01.101,Vogue1A.01.106,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1B.01.01,Vogue1B.01.03,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.51,Vogue1B.01.52,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15,X
1,Adenoviridae,18,24,16,9,76,48,23,31,19,23,15,25,27,10,198,13,8,20,22,5,21,6,13,5,21,54,24,6,13,16,9,10,13,11,13,21,28,20,28,10,24,9,9,30,5,99,8,804,9,6,17,10,60,22,2
2,Alloherpesviridae,1,3,1,0,3,0,1,0,1,1,0,0,0,1,1,1,0,3,3,0,1,0,2,0,0,2,8,0,0,0,0,0,1,0,0,1,0,1,1,5,7,1,0,1,0,0,1,2,1,0,7,2,0,0,3
3,Alphaflexiviridae,2,1,6,1,3,1,3,1,3,1,1,0,1,1,22,2,3,3,5,0,1,0,4,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,2,26,0,1,2,0,1,1,3,0,4
4,Ampullaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,Anelloviridae,0,1,8,1,0,1,33,34,1,6,0,1,0,0,1,0,0,337,0,0,0,2,0,0,0,32,7,0,63,4,1,0,1,13,37,0,0,22,6,8,65,73,0,31,21,0,0,0,1,0,3,0,0,0,6
6,Arteriviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
7,Ascoviridae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
8,Astroviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,Baculoviridae,14,2,5,1,10,7,4,3,5,8,1,9,4,2,12,6,1,9,11,6,3,3,7,0,1,30,4,0,25,19,10,8,14,1,3,10,0,6,2,9,14,4,25,13,3,4,6,3,4,23,774,2,5,1,10
10,Bicaudaviridae,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
11,Caliciviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12
12,Caudovirales,0,0,1,0,3,0,0,0,0,0,0,0,0,0,345,0,2,2,2,1,3,0,0,0,0,7,0,36,25,5,1,9,0,0,1,0,1,0,9,45,0,2,5,0,0,0,46,0,0,2,0,0,1,0,13
13,Caulimoviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
14,Chrysoviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
15,Circoviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16
16,Coronaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
17,Endornaviridae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
18,Flaviviridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,6,0,0,0,0,0,0,0,19
19,Fuselloviridae,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
20,Hepadnaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
21,Hepeviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
22,Herpesviridae,61,82,63,12,102,84,83,239,85,107,40,95,69,82,837,76,33,47,84,24,52,859,106,1090635,71,176,90,72,2214,85,1870,128,85,90,2635,136,52,95,20,221,166,31,115,87,37,8,36,171,61,32,147,91,23,25,23
23,Hytrosaviridae,0,0,0,0,0,0,0,0,0,0,1,1,0,0,119,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24
24,Iflaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
25,Inoviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26
26,Iridoviridae,2,4,2,0,3,1,1,1,2,3,1,2,4,0,32,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,5,0,0,6,0,1,29,0,8,0,3,2,0,0,0,2,2,0,2,8,0,0,27
27,Lipothrixviridae,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,24,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,2,0,0,12,0,0,1,0,0,1,0,28
28,Luteoviridae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29
29,Marseilleviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30
30,Microviridae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
31,Mimiviridae,33,6,45,53,2,0,0,0,0,0,1,1,1,6,41,2,1,1,3,2,1,4,0,1,2,0,3,11,14,1,1,2,1,292,18,1,0,1,12,76,1,83,6,2,3,0,3,0,3,49,2,6,8,3,32
32,Myoviridae,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,33
33,Nimaviridae,1,0,0,0,7,4,2,4,8,5,0,4,0,0,3,0,0,19,2,0,0,1,0,0,0,1,12,0,0,1,7,1,0,0,1,0,0,0,50,0,1,0,0,5,0,0,0,0,0,0,1,0,3,0,34
34,Nudiviridae,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,35
35,Other_dsDNA_viruses,22,20,121,3,21,7,28,18,13,25,6,15,23,10,72,8,1,44,35,5,13,17,17,13,6,40,9,38,3,13,9,38,22,8,19,32,6,15,5,56,180,20,12,40,7,0,10,14,18,3,146,30,6,3,36
36,Other_Phages,0,0,42,40,4,19,1,0,0,0,0,9,0,1,243,0,2,4,46,9,2,178,0,0,2,0,501,7,24,57,73,42,0,57,1,11,0,38,334,28,0,3,100,0,15,5,876,0,2,51,1,0,412,3,37
37,Other_ssDNA_viruses,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38
38,Other_ssRNA_negative_strand_viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39
39,Other_ssRNA_positive_strand_viruses,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
40,Other_Viruses,0,2,10,9,5,3,2,0,0,0,0,2,0,36,795,0,1,37,2,94,12,19,0,0,14,47,134,18,57,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,0,48,0,45,0,1,0,0,1,153,2,41
41,Papillomaviridae,188,162,366,12,9085,3637,209,197,189,227,154,332,1072,246,134,4048,1099164,216,231,293,284918,1491,2230,98,147,159,4057,18025,1789,2512,267,175,283,769253,6198,522,163,478611,4509,318,144935,888,717778,776,84,63,95434,192,112,131,435,168,43,88,42
42,Parvoviridae,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43
43,Phycodnaviridae,144,132,163,74,220,226,172,140,79,164,104,118,130,163,434,71,65,285,231,22,110,71,182,71,134,503,85,4,88,133,55,14,122,22,15,209,71,162,190,373,289,21,19,329,344,236,22,48,105,112,1227,47,238,37,44
44,Picornaviridae,1,1,5,10,72,3,9,5,3,4,2,6,4,6,1,2,1,0,6,1,2796,3,6,343,7,7,1,6,3,7,5,0,9,5,4,8,5,8,3,1,3,3,7,4,1,29,36,5,0,4,0,2,16,10,45
45,Podoviridae,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,46
46,Polydnaviridae,34,43,29,3,21,6,25,15,16,27,3,16,20,5,168,10,2,43,31,4,23,4,12,6,12,14,6,0,5,8,34,1,52,13,1,30,12,13,8,7,1407,5,16,15,0,1,3,25,38,1,41,53,3,5,47
47,Polyomaviridae,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,17,0,4,0,0,0,0,1,0,108,7,1,1,1,0,0,0,0,0,1,162,0,0,0,0,48
48,Potyviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
49,Poxviridae,0,1,2,1,151,0,0,0,3,0,0,1,2,0,1,0,0,1,2,0,0,1,1,2,1,0,0,1,0,2,8,1,0,0,2,0,4,0,4,0,1,0,0,2,0,1,0,1,0,4,0,1,3,0,50
50,Reoviridae,0,0,3,0,0,4,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,4,0,0,15,0,0,1,0,0,0,0,0,0,0,51
51,Retroviridae,10,6,7,1,14,3,21,6,8,5,4,7,13,1,25,3,1,3,13,6,5,1,7,2,8,45,1,2,6,5,0,2183,11,2,1,12,7,3,20,3,8,5,3,5,79,7,0,3,3,0,7,5,3,3,52
52,Secoviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53
53,Siphoviridae,0,14,37,12,391,215,52,0,0,0,0,10,0,79,6674,0,50,77,466,18125,838,1680,0,2,384,355,418,84,1015,208,733,470,13,254,7042,184,2548,262,32859,3823,119,540,1392,0,375,1059,6569,4,50,284,15,2,841,7,54
54,Tombusviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
55,Totiviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
56,Turriviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57
57,Tymoviridae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
58,Virgaviridae,0,0,0,0,0,0,0,74,0,0,0,0,0,1,0,0,0,63,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59
