"","Viral_Genus","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"2","Ahjdlikevirus",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0
"3","Alphabaculovirus",4,0,7,5,4,1,5,6,0,8,1,2,8,4,1,8,11,6,3,9,2
"4","Alphalipothrixvirus",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,1
"5","Alphapapillomavirus",249,10,7997,2613,155,165,117,189,127,301,881,187,116,3387,1086794,148,178,197,184305,149,119
"6","Alpharetrovirus",6,1,9,1,3,5,6,4,3,4,1,1,10,2,1,3,8,0,4,6,5
"7","Aviadenovirus",6,2,3,10,10,8,3,0,8,8,6,4,105,5,0,7,6,0,8,12,1
"8","Avipoxvirus",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9","Bcep22likevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"10","Betabaculovirus",0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"11","Betapapillomavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"12","Betatorquevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"13","Bicaudavirus",0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0
"14","C2likevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"15","Cafeteriavirus",1,1,0,0,0,0,0,0,1,0,0,0,19,2,0,0,0,0,0,32,0
"16","Chloriridovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"17","Chlorovirus",8,36,3,5,7,6,4,2,0,3,5,20,10,8,1,3,6,1,1,3,2
"18","Circoviridae",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"19","Coccolithovirus",152,37,204,218,154,130,72,156,102,113,121,137,417,60,63,193,217,19,100,134,125
"20","Cyprinivirus",0,0,3,0,0,0,0,1,0,0,0,1,1,1,0,3,1,0,1,1,3
"21","Cytomegalovirus",0,0,1,1,0,0,0,2,1,2,0,0,0,0,0,0,7,0,0,0,0
"22","D3likevirus",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Dyoomikronpapillomavirus",0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,2,3
"24","Enterovirus",5,10,72,3,9,5,3,4,2,6,4,5,1,2,1,0,6,1,2792,1,1
"25","Fuselloviridae",0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0
"26","Gammapapillomavirus",36,0,0,0,0,0,6,0,0,0,0,0,0,10,79,0,0,0,0,0,0
"27","Gammaretrovirus",0,0,0,0,16,0,0,1,0,0,12,0,13,0,0,0,0,4,0,1,0
"28","Ichnovirus",29,3,21,6,25,15,16,27,3,16,20,5,168,10,2,43,31,4,23,34,42
"29","Ictalurivirus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"30","Kayvirus",10,11,9,6,13,6,6,12,3,7,3,8,16,11,4,4,25,1,8,16,10
"31","L5likevirus",0,0,0,0,1,0,0,0,0,0,0,1,622,0,3,0,0,0,0,0,0
"32","Lambdalikevirus",0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
"33","Lambdapapillomavirus",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"34","Lentivirus",0,0,4,1,0,1,1,0,1,1,0,0,1,1,0,0,4,1,1,3,1
"35","Lymphocryptovirus",42,6,79,69,49,222,53,68,30,79,51,61,44,62,32,25,39,22,39,35,61
"36","Macavirus",1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"37","Mandarivirus",6,1,3,1,3,1,3,1,1,0,1,1,22,2,3,3,5,0,1,2,1
"38","Mardivirus",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Mastadenovirus",9,7,72,35,13,21,16,23,7,16,21,6,91,7,8,13,15,5,12,5,22
"40","Mimivirus",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0
"41","Molluscipoxvirus",0,0,150,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"42","Muromegalovirus",1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1
"43","Muscavirus",0,0,0,0,0,0,0,0,0,1,0,0,119,0,0,0,0,0,0,0,0
"44","N4likevirus",0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
"45","Omikronpapillomavirus",0,1,2,1,2,0,1,0,1,0,2,0,0,1,0,0,2,0,1,5,0
"46","Orbivirus",3,0,0,4,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"47","Orthohepadnavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
"48","Other Adenoviridae",0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"49","Other Anelloviridae",8,1,0,1,32,32,1,6,0,1,0,0,1,0,0,325,0,0,0,0,0
"50","Other dsDNA Viruses",121,3,24,7,28,18,13,24,6,15,22,10,176,8,3,41,37,6,16,22,20
"51","Other Herpesviridae",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,1,1,1
"52","Other Mimiviridae",43,51,2,0,0,0,0,0,0,0,1,6,6,0,1,1,1,0,1,0,6
"53","Other Myoviridae",27,12,78,1,10,3,11,4,52,13,14,59,302,10,4,175,18,12306,491,46,8
"54","Other Nudiviridae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"55","Other Papillomaviridae",66,1,1083,1023,47,27,63,37,25,30,189,59,18,645,12288,37,48,95,100610,31,35
"56","Other Phages",42,37,1,19,0,0,0,0,4,9,4,0,339,10,2,4,46,7,1,0,0
"57","Other Phycodnaviridae",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"58","Other Podoviridae",6,12,244,19,11,2,7,24,2,6,2,118,708,4,557,591,15,12,3343,0,23
"59","Other Polyomaviridae",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"60","Other Retroviridae",0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0
"61","Other Siphoviridae",36,10,390,22,43,0,9,7,894,6,76,77,5930,3,45,60,465,18122,822,7,13
"62","Other ssDNA Viruses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"63","Other Viruses",10,9,5,3,2,2,0,0,0,2,1,36,940,0,1,37,2,94,12,1,2
"64","Panicovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"65","Pbunalikevirus",0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"66","Percavirus",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"67","Phaeovirus",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38,0,1,0,0,0
"68","Phieco32likevirus",0,0,1,0,2,0,0,0,0,0,0,77,0,0,8,16,0,1,2,0,0
"69","Phietalikevirus",0,0,0,177,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
"70","Phijlunalikevirus",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"71","Phikmvlikevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"72","Phikzlikevirus",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1
"73","Pipapillomavirus",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Pithovirus",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
"75","Proboscivirus",2,0,0,2,3,2,1,3,0,2,2,2,746,4,0,3,1,0,2,2,2
"76","Protoparvovirus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"77","Prymnesiovirus",2,0,11,3,9,3,2,6,1,1,3,2,6,2,1,51,5,1,9,6,5
"78","Ranavirus",2,0,3,1,1,1,2,3,1,2,4,0,32,1,0,1,0,0,2,2,0
"79","Rhadinovirus",0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,1,0,0,0,2
"80","Roseolovirus",15,2,16,11,28,12,13,32,7,10,13,8,42,10,1,11,30,1,9,20,13
"81","Sap6likevirus",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Sfi21dtunalikevirus",0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,12,0,0
"83","Simplexvirus",0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Skunalikevirus",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","T4likevirus",0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0
"86","T5likevirus",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"87","T7likevirus",4,3,6,4,4,1,1,3,1,2,2,15,137,1,9,86,1,1,26,3,10
"88","Tobamovirus",0,0,0,0,0,72,0,0,0,0,0,1,0,0,0,62,0,0,0,0,0
"89","Upsilonpapillomavirus",1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"90","Varicellovirus",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Whispovirus",0,0,7,4,2,4,8,5,0,4,0,0,3,0,0,19,2,0,0,1,0
