"","x"
"Vogue1A.01.61",1
"Vogue1A.01.106",2
"Vogue1B2.01.11",2
"Vogue1A.01.52",3
"Vogue1A.01.59",3
"Vogue1A.01.62",4
"Vogue1A.01.64",2
"Vogue1A.01.71",2
"Vogue1A.01.75",3
"Vogue1A.01.76",3
"Vogue1A.01.78",5
"Vogue1A.01.81",3
"Vogue1A.01.84",6
"Vogue1A.01.85",6
"Vogue1A.01.92",4
"Vogue1B.01.01",3
"Vogue1B.01.04",7
"Vogue1B.01.05",6
"Vogue1B.01.06",3
"Vogue1B.01.08",3
"Vogue1B.01.09",5
"Vogue1B.01.11",3
"Vogue1B.01.12",4
"Vogue1B.01.13",7
"Vogue1B.01.15",8
"Vogue1B.01.17",2
"Vogue1B.01.21",4
"Vogue1B.01.26",3
"Vogue1B.01.27",2
"Vogue1B.01.32",3
"Vogue1B.01.34",5
"Vogue1B.01.36",3
"Vogue1B.01.37",3
"Vogue1B.01.38",1
"Vogue1B.01.40",3
"Vogue1B.01.43",5
"Vogue1B.01.51",3
"Vogue1B.01.52",6
"Vogue1B2.01.06",4
"Vogue1B2.01.07",2
"Vogue1B2.01.08",2
"Vogue1B2.01.09",3
"Vogue1B2.01.10",3
"Vogue1B2.01.12",6
"Vogue1B2.01.15",8
"Vogue1A.01.65",2
"Vogue1A.01.68",2
"Vogue1A.01.69",2
"Vogue1A.01.70",6
"Vogue1A.01.74",3
"Vogue1A.01.77",4
"Vogue1A.01.101",2
"Vogue1B.01.03",3
"Vogue1B.01.48",2
